rainfall_1h,rainfall_3h,rainfall_6h,rainfall_12h,rainfall_24h,forecast_rainfall_1h,forecast_rainfall_3h,forecast_rainfall_6h,forecast_rainfall_12h,temperature,humidity,pressure,wind_speed,elevation,slope,drainage_capacity,impervious_surface,population_density,historical_flood_frequency,flood
0.48,29.74,64.53,70.88,168.22,3.6,17.32,60.8,63.75,28.87,79.34,1016.46,6.08,21.13,4.27,35.1,53.81,6521.58,8.51,0
10.52,10.65,18.86,25.39,125.25,11.0,13.44,17.22,0.0,32.19,73.65,1009.44,1.43,23.24,2.73,54.27,28.18,6098.65,4.39,0
4.14,12.55,19.47,31.1,48.08,4.9,7.94,39.5,76.55,36.65,78.84,1000.69,32.13,28.95,3.79,43.46,52.3,2998.53,8.46,0
1.71,3.08,9.83,23.36,24.43,0.0,0.0,0.0,10.37,21.81,57.92,1004.2,15.04,25.29,7.91,35.22,53.35,6877.3,2.69,0
1.37,2.61,4.93,75.84,154.0,0.0,19.3,0.0,86.54,17.35,67.68,997.71,17.8,3.6,4.7,62.61,78.36,4019.4,5.19,0
2.38,6.51,13.6,14.96,83.53,5.33,0.0,0.0,23.99,28.01,74.69,996.24,24.26,44.07,5.38,52.32,67.02,9209.79,4.28,0
70.0,76.38,76.7,88.71,99.14,89.34,61.83,123.1,86.93,36.23,85.96,985.96,10.13,12.17,0.2,47.38,11.0,6975.11,4.02,1
23.39,25.76,56.54,66.01,160.76,21.14,32.2,35.57,69.59,31.37,55.41,1023.06,17.71,19.81,3.8,30.5,62.23,7951.04,3.12,1
1.2,26.31,33.14,141.76,220.91,0.0,24.13,30.23,149.44,22.89,97.17,1007.8,11.59,10.52,4.62,53.89,77.59,3233.53,4.91,1
5.56,6.92,31.83,80.34,91.31,0.0,0.0,8.49,114.93,28.5,90.57,1002.94,7.4,1.0,4.43,38.85,98.0,2662.91,7.04,1
1.77,5.44,205.44,213.65,217.85,0.0,2.02,204.34,229.11,28.45,78.34,988.6,18.97,14.35,3.5,25.49,64.99,6579.33,3.31,1
1.17,17.34,46.17,50.23,90.58,2.94,13.54,49.49,28.36,24.24,86.57,1000.7,10.02,9.9,2.17,38.57,73.13,4652.81,0.75,0
1.0,29.82,31.61,40.89,273.11,0.0,23.9,45.26,43.67,34.23,86.06,993.45,14.71,31.56,0.26,82.0,62.54,7729.35,2.97,0
28.96,79.92,200.3,201.62,226.04,16.25,88.57,174.97,182.67,24.0,94.47,989.4,13.75,1.0,1.61,47.1,50.01,9812.69,0.48,1
3.89,13.42,46.53,47.37,172.12,1.36,0.0,65.97,31.43,28.07,83.54,1001.93,17.94,10.39,1.3,50.25,16.54,8079.82,4.25,0
5.71,25.45,83.07,99.46,106.39,2.24,13.88,104.29,108.55,29.85,85.21,998.49,18.71,19.95,2.27,49.29,50.06,5157.22,3.98,0
7.36,13.13,13.68,214.56,221.59,11.02,19.98,7.77,189.18,26.38,90.31,1003.4,41.99,21.1,0.85,46.66,25.18,9232.83,8.82,0
0.98,13.88,17.64,21.56,26.68,0.0,20.48,16.93,58.84,22.45,82.38,1000.05,6.6,32.93,2.06,25.73,67.64,3877.52,4.47,0
11.52,12.44,47.53,55.25,58.21,13.79,7.35,60.16,62.77,24.16,66.16,995.87,27.14,20.16,2.66,44.04,61.21,4085.93,9.79,1
3.91,31.03,38.21,44.43,64.38,6.61,32.14,1.57,32.76,27.29,82.27,1013.96,2.92,11.37,1.4,45.29,35.34,12412.32,6.61,0
1.81,7.87,10.6,12.37,20.65,0.0,11.2,20.8,0.0,24.98,73.5,1015.56,10.79,17.47,0.91,53.99,38.6,9258.13,2.74,0
0.53,7.44,8.51,24.17,83.38,0.0,4.24,25.06,0.0,32.48,89.84,1006.44,8.95,31.67,1.78,65.52,53.15,3043.45,2.78,0
13.3,28.07,33.89,39.57,43.24,5.42,29.01,30.12,18.13,27.35,81.26,1014.71,14.01,21.29,2.57,69.78,39.64,4687.3,4.0,0
5.19,6.19,18.76,71.85,78.79,7.33,15.01,26.17,26.48,29.06,81.03,1000.96,0.0,27.46,1.45,36.97,38.01,200.0,5.39,0
10.48,14.86,25.44,35.62,77.66,11.37,23.6,22.99,26.66,19.23,84.04,1014.92,16.35,20.2,4.08,21.1,50.87,5778.45,0.0,0
8.74,15.38,21.15,48.63,68.25,6.61,24.0,28.92,64.21,33.3,100.0,999.67,22.37,18.95,0.2,68.41,86.41,8919.08,3.49,0
7.4,31.92,57.09,62.59,79.57,6.99,53.95,48.77,21.35,25.32,80.02,1017.19,15.14,15.13,0.97,89.21,61.38,6247.26,0.0,0
26.06,35.12,43.81,46.06,60.68,22.67,27.96,58.67,73.22,33.21,66.07,1023.75,15.91,18.69,4.07,61.69,62.11,2746.43,2.69,1
24.91,27.65,35.84,40.83,101.93,28.46,20.29,23.54,29.56,25.66,90.21,1010.26,22.29,16.64,0.94,95.0,69.29,6677.11,6.42,0
0.77,6.92,8.16,32.9,100.95,2.28,2.31,6.53,11.77,30.96,64.49,994.84,12.4,1.0,4.31,65.26,77.05,6663.71,1.44,0
9.04,10.2,11.65,22.43,41.8,11.41,16.25,4.35,45.29,31.92,75.85,1004.57,7.07,30.8,1.94,23.05,52.06,3432.65,0.0,0
5.92,14.38,61.54,67.04,71.2,7.67,8.32,67.97,44.58,19.91,67.04,1010.91,22.29,17.99,5.72,52.41,50.78,1767.23,3.77,0
14.83,24.32,83.21,86.66,154.83,14.95,19.08,64.7,36.78,19.91,76.87,1016.66,12.98,25.64,1.36,51.89,59.01,10887.65,1.76,0
2.35,8.09,21.1,26.23,27.64,2.54,11.48,36.51,0.0,28.25,82.26,1003.07,11.38,1.0,6.05,29.13,76.27,6032.9,3.91,1
8.14,25.21,31.48,34.08,37.79,4.91,23.99,16.78,66.14,26.41,56.79,1010.94,22.88,33.96,3.11,92.3,73.25,14969.39,8.05,0
0.88,6.64,12.39,18.17,32.24,0.0,0.0,0.0,25.25,22.19,78.85,1003.22,10.31,14.58,3.81,55.45,77.24,2890.91,3.44,0
4.84,5.91,21.88,169.6,189.78,2.95,0.0,0.0,199.55,33.13,90.29,998.72,25.66,24.4,5.56,72.3,65.66,5265.83,11.09,1
0.46,6.23,17.98,23.08,31.4,1.94,8.83,18.9,31.93,28.05,76.76,1007.82,9.18,17.65,3.62,79.6,48.98,3344.37,4.86,0
3.42,27.79,28.49,65.6,76.88,7.53,27.51,50.88,62.11,34.55,71.97,1002.0,21.5,41.29,3.08,61.19,31.41,9846.64,0.75,0
1.34,1.74,3.22,15.62,114.67,2.49,8.38,5.17,17.72,32.05,61.58,1004.13,17.2,1.0,4.65,72.22,24.97,4759.92,2.86,0
1.6,12.54,49.94,71.32,76.81,3.79,25.11,47.18,103.57,28.68,87.3,993.41,18.09,26.38,2.72,34.31,58.89,3134.82,1.91,0
2.96,4.04,11.0,20.21,25.27,4.8,7.19,15.75,0.0,27.08,79.53,1027.11,34.65,23.86,1.81,58.91,80.27,978.11,0.0,0
10.47,19.28,50.59,59.45,71.33,14.5,23.53,70.7,49.88,24.63,87.78,997.77,19.13,2.35,2.53,54.07,92.18,8910.9,2.93,1
0.69,41.16,43.92,130.84,149.37,0.8,30.83,45.21,119.77,25.2,84.3,992.96,25.15,21.3,2.01,60.9,47.5,6236.53,4.26,1
0.69,11.24,30.1,31.69,35.65,0.0,13.66,3.28,19.78,24.49,68.77,992.06,9.57,33.38,1.79,52.08,85.99,3937.82,13.17,1
2.35,30.7,33.7,40.26,153.41,1.17,9.03,33.31,29.3,24.89,70.04,1009.47,7.57,24.61,3.07,38.32,51.93,6030.19,3.07,0
2.52,5.61,11.1,16.41,22.54,6.06,9.96,13.12,0.0,22.55,76.26,994.64,0.0,3.56,2.69,42.32,49.58,6793.43,1.54,0
1.95,5.74,17.86,21.99,30.07,3.16,9.62,0.0,16.93,25.51,81.92,1015.03,16.06,31.51,2.93,60.84,50.21,6113.69,3.18,0
0.7,23.91,69.16,70.54,78.87,1.69,19.94,87.08,60.24,29.21,75.03,1003.19,24.69,20.85,6.5,17.72,59.83,2665.19,1.22,1
1.88,3.0,20.42,23.09,145.38,1.52,0.49,20.68,0.0,29.27,93.93,988.46,6.61,13.37,1.4,65.28,49.09,6242.88,8.47,0
2.8,7.03,9.31,16.29,32.58,4.45,0.0,9.17,0.0,20.69,100.0,1014.22,24.67,24.19,4.27,50.41,34.37,1880.46,4.01,0
7.79,12.2,23.17,50.97,132.18,16.09,21.24,0.0,32.66,25.76,88.48,998.04,13.43,27.89,1.52,51.23,53.64,8891.88,8.7,0
1.59,6.75,80.21,97.6,105.97,4.86,0.0,85.82,68.27,33.84,86.2,1011.9,11.14,10.04,2.04,30.62,53.98,3973.94,3.77,1
1.46,2.52,3.65,17.59,36.93,5.62,0.0,1.67,20.04,30.36,95.75,1006.39,18.26,37.58,2.03,40.07,72.1,2331.31,1.58,0
5.07,5.83,18.43,117.81,122.68,7.59,3.24,23.81,95.42,29.18,75.74,1001.37,13.87,26.93,1.84,58.44,51.74,3792.14,7.15,0
0.88,4.48,20.61,37.84,394.77,0.0,0.0,24.2,72.77,31.41,88.37,1001.98,21.31,32.28,5.87,46.34,60.21,3747.5,11.92,0
4.13,19.67,26.92,60.3,83.21,5.29,22.08,15.83,41.83,25.82,78.49,987.78,10.55,31.09,2.65,24.57,58.53,7448.89,3.11,0
7.92,9.62,24.65,32.64,106.62,5.49,10.16,30.49,17.0,33.6,83.23,1000.35,0.0,5.07,1.28,46.02,65.5,1902.53,2.42,0
70.0,93.24,108.82,114.71,119.22,62.9,66.59,92.29,85.96,22.22,80.69,1000.81,16.36,27.42,1.05,56.71,61.59,9731.01,6.52,1
4.09,5.24,7.33,13.61,14.56,2.24,1.66,2.76,0.0,19.27,94.53,993.36,25.87,15.55,1.51,46.74,88.84,3904.49,2.85,0
60.85,83.38,86.37,138.99,140.63,38.15,107.25,116.65,130.47,22.1,76.93,996.3,17.44,4.35,2.21,65.08,46.81,4811.19,1.28,1
1.19,3.37,12.45,15.54,31.14,1.6,8.86,21.46,0.0,35.38,78.7,1006.49,8.36,17.42,5.12,67.52,54.4,10583.01,0.97,0
10.1,12.11,18.26,59.25,83.65,18.33,13.39,0.0,22.64,26.58,97.02,1010.01,15.62,6.82,2.89,42.26,85.96,4578.18,1.64,1
4.62,57.48,64.94,68.58,82.18,12.92,63.1,65.65,55.82,38.88,75.69,999.49,13.16,26.2,0.2,61.29,14.23,10416.23,0.0,1
41.31,46.19,179.75,299.51,373.14,32.0,44.33,218.86,277.84,29.24,60.27,999.47,19.23,30.49,3.44,48.47,56.54,3737.03,3.69,1
0.62,26.32,38.48,40.09,54.72,0.67,33.16,31.58,84.67,21.71,92.9,994.82,1.8,27.57,0.2,48.71,84.74,3258.34,9.39,1
0.48,4.33,14.11,21.96,34.04,4.86,0.0,3.14,8.45,26.99,79.37,1011.79,9.78,1.0,1.54,73.2,66.27,4888.77,4.18,0
5.33,8.77,33.13,78.38,83.84,12.58,22.93,30.69,55.77,30.25,67.14,1002.81,21.28,21.63,3.72,77.21,86.77,5831.06,7.82,0
7.33,11.65,17.19,20.07,35.82,9.6,15.06,23.35,16.84,29.24,81.24,983.19,6.62,45.71,4.18,45.37,66.6,8132.94,8.62,0
1.65,4.01,7.38,21.18,31.1,7.76,6.75,22.58,2.08,23.52,86.0,1001.8,25.34,5.58,4.94,90.8,67.06,4089.33,1.67,0
0.41,3.72,12.49,83.65,237.21,0.0,5.38,7.5,77.4,25.3,73.6,997.05,3.96,27.32,3.48,42.14,74.76,472.19,2.78,0
1.53,22.88,26.05,55.59,179.38,1.27,14.48,14.0,40.43,24.52,87.61,1003.99,32.49,13.57,3.85,52.59,37.03,10771.32,4.36,0
1.08,9.41,37.73,41.71,59.17,1.51,6.54,40.54,34.21,24.25,80.04,1001.23,20.47,27.39,1.34,75.1,46.98,2627.04,7.17,0
0.55,3.62,9.98,16.87,25.74,3.31,0.0,1.26,3.85,20.36,73.26,1001.76,17.48,13.43,0.2,33.6,80.08,3479.54,5.64,0
3.81,4.56,6.18,8.02,57.18,1.14,6.14,0.0,0.0,13.76,83.18,1008.04,5.43,35.65,2.81,68.56,73.97,5597.52,0.0,0
1.33,7.44,14.56,18.07,32.65,2.58,0.0,49.35,0.0,30.02,80.24,1008.39,19.23,33.16,1.08,57.35,31.58,5079.84,6.01,0
3.4,3.88,22.36,180.62,181.74,0.82,0.0,11.26,179.21,25.97,50.23,1024.78,29.36,46.15,5.76,45.55,59.21,6874.32,5.12,0
0.51,3.36,8.23,14.63,36.86,0.0,10.74,11.47,13.62,23.13,69.12,1006.96,8.82,18.73,2.51,36.21,49.6,4315.5,2.85,0
11.9,20.65,25.04,27.72,46.27,14.04,6.43,31.26,7.53,20.46,86.1,1011.17,11.12,40.53,3.43,52.2,38.71,898.59,2.46,0
3.65,14.35,16.87,31.03,49.08,6.1,17.65,12.11,21.01,34.32,67.22,1009.33,11.51,27.07,3.37,33.67,62.98,12497.21,4.92,0
10.01,11.96,18.27,49.96,60.76,8.3,8.3,12.5,6.22,21.16,81.67,1001.89,12.04,16.1,2.67,27.62,58.44,5342.08,7.2,0
13.88,15.78,92.7,125.39,155.03,20.79,10.21,80.95,149.17,27.82,74.22,1014.73,28.81,19.39,0.88,51.24,61.56,200.0,8.02,0
2.06,4.74,12.7,41.13,117.13,0.0,5.37,20.69,43.83,31.55,76.41,1011.66,20.51,37.43,3.39,78.1,54.54,7036.86,6.3,0
1.3,5.9,9.6,22.12,37.1,2.04,0.0,0.0,36.49,26.01,78.15,1000.76,29.46,21.99,1.98,38.09,90.84,1794.29,1.62,0
5.46,10.87,15.47,17.53,170.15,7.65,5.31,0.0,9.7,29.08,97.98,1000.18,0.0,6.9,3.02,81.39,53.01,10644.13,0.0,0
12.45,12.84,15.32,24.65,32.06,14.32,14.44,0.0,0.0,22.55,69.46,1014.93,13.29,1.0,0.83,66.45,52.65,2317.81,2.86,0
3.06,12.42,18.91,33.24,38.66,1.85,8.43,9.21,49.19,31.31,72.98,999.03,14.26,5.75,3.85,69.68,47.54,8069.29,4.76,0
9.92,14.52,49.95,61.62,73.57,6.79,1.37,24.72,74.42,34.37,71.77,994.22,26.46,11.17,4.22,33.65,63.25,5510.59,0.0,1
0.9,3.01,3.45,10.89,18.39,1.76,0.0,0.0,0.0,21.98,71.5,1015.76,2.26,27.88,5.19,46.17,77.95,8524.18,1.58,0
3.86,6.93,22.33,26.68,32.19,3.92,10.67,14.45,13.87,27.91,79.75,1004.77,12.38,19.49,5.98,59.39,70.5,7406.61,3.48,0
0.58,2.91,101.55,146.26,157.75,1.44,1.14,85.38,74.8,28.3,90.04,1017.54,17.85,15.62,1.52,47.4,31.23,5244.51,0.32,0
5.27,5.84,10.57,35.68,123.89,0.97,11.09,27.42,10.6,31.64,84.37,1012.35,22.17,44.12,0.39,49.33,54.82,9500.13,5.12,0
3.24,15.24,25.61,43.21,79.17,7.26,15.86,38.57,0.0,30.2,76.25,1002.53,19.02,19.64,3.71,49.25,87.09,5301.02,1.72,0
4.61,46.76,53.73,55.9,65.9,6.7,51.03,57.9,46.53,27.19,91.2,1005.05,19.1,11.12,3.01,45.06,29.66,3346.6,5.34,1
6.77,10.48,11.16,13.96,75.87,6.69,0.0,32.23,6.29,21.21,74.71,1008.33,13.95,14.72,4.81,50.81,52.3,6423.63,7.92,0
7.13,10.35,25.55,26.49,43.68,2.43,5.65,0.0,0.0,27.15,63.73,1003.99,6.37,29.39,3.67,50.2,62.59,7724.26,4.18,0
1.61,3.41,32.37,39.27,46.59,0.0,0.0,19.23,37.55,22.55,76.4,1015.53,0.0,29.27,3.68,53.13,54.41,10311.33,6.16,0
18.98,28.95,39.34,41.65,305.67,28.25,17.87,51.44,69.92,38.28,79.57,999.03,16.06,29.65,2.53,54.31,63.85,7480.72,4.4,1
9.74,12.34,13.02,16.19,44.79,12.67,7.98,27.14,0.0,28.55,86.56,985.97,8.22,20.35,2.14,57.15,48.77,8811.23,4.15,0
10.1,14.82,15.5,48.03,52.86,5.77,12.62,14.62,22.45,34.35,80.22,996.52,17.52,24.37,4.11,54.48,48.79,1891.69,2.41,0
0.35,3.47,22.53,30.78,46.09,1.97,7.37,0.0,75.75,30.24,89.64,998.61,13.45,26.77,3.8,67.64,39.58,3620.7,0.12,0
2.53,4.57,7.04,18.09,80.19,8.23,0.0,27.35,14.43,23.87,85.27,1008.61,16.26,6.72,1.21,53.5,78.75,8729.03,2.8,0
18.86,24.68,28.91,36.53,86.8,17.14,13.23,24.95,68.84,31.14,79.52,993.38,21.64,6.38,2.28,53.79,45.47,3519.13,6.66,0
0.28,7.41,10.4,27.39,50.83,0.0,8.52,17.76,28.45,24.3,83.21,1002.17,17.89,36.33,4.25,65.82,70.49,849.71,4.24,0
2.95,15.51,17.63,138.1,170.23,6.71,13.97,11.87,154.66,21.63,81.28,1004.02,29.55,37.81,1.68,52.74,47.51,5234.95,6.58,1
7.75,8.15,12.62,69.67,159.79,5.1,1.59,1.79,94.06,30.81,70.91,1009.7,21.55,1.0,4.16,54.03,14.76,9054.52,4.24,1
4.28,14.28,14.88,22.57,27.64,0.44,23.32,29.32,0.0,26.72,80.93,1000.9,0.0,30.6,4.11,45.07,75.22,6373.0,5.9,0
4.71,8.37,8.6,22.15,44.08,6.88,12.19,0.0,38.67,21.53,68.42,1010.72,0.0,1.0,4.42,56.35,24.12,4681.2,4.53,0
0.31,15.2,43.88,71.14,143.3,0.0,19.92,94.3,71.47,25.08,78.86,1005.86,35.1,21.72,2.23,55.21,45.15,965.7,3.56,1
1.7,9.51,203.62,217.62,223.27,3.16,22.61,184.95,189.33,28.69,67.82,1019.95,5.3,8.23,2.59,76.22,84.66,7920.6,6.68,1
1.97,17.64,41.81,45.69,50.78,2.12,6.02,25.21,21.74,31.37,77.89,1017.41,10.57,17.47,3.6,45.01,31.23,4942.32,1.75,0
6.24,9.37,10.28,15.5,19.39,8.71,5.04,0.0,40.75,24.41,69.02,999.51,29.45,44.53,3.74,58.15,74.1,7177.48,4.53,0
6.65,12.58,62.44,70.51,75.93,3.84,21.91,52.71,115.19,24.87,64.39,1000.84,0.0,26.18,4.04,47.97,39.83,13200.91,0.31,1
11.08,15.15,22.89,45.86,645.86,5.68,21.36,20.05,0.0,27.32,77.83,1012.15,9.86,5.33,3.41,30.05,45.53,6165.0,0.0,0
0.35,2.39,18.26,47.59,65.22,5.18,0.0,17.74,11.66,26.96,84.99,1010.0,14.09,20.43,1.99,70.49,38.6,4436.91,1.58,0
0.63,7.75,18.69,22.15,35.2,1.01,18.23,10.98,54.86,24.54,67.31,997.79,7.66,13.03,1.46,55.25,36.62,7729.79,4.12,0
5.54,73.06,86.06,94.58,100.37,0.32,58.64,62.25,102.29,21.55,67.54,1005.23,6.29,3.65,0.25,54.22,58.76,5652.12,7.65,1
21.92,39.51,42.37,72.38,210.42,16.18,45.95,30.32,64.1,22.39,63.82,990.36,18.52,43.07,2.1,41.34,81.75,6340.5,7.76,0
42.15,43.42,48.29,55.43,95.85,54.08,44.09,34.59,51.7,25.12,71.49,1020.82,6.05,33.51,1.54,45.04,58.53,7396.27,0.0,0
13.93,17.33,18.93,33.21,77.92,16.21,6.23,15.03,24.39,31.81,68.25,993.34,20.48,27.74,1.13,66.32,39.65,3829.41,0.69,0
4.84,6.56,16.02,33.45,85.21,5.28,0.0,31.7,0.0,30.14,72.07,1007.2,3.07,14.84,0.2,48.08,70.94,7335.14,10.44,1
23.11,23.64,33.14,53.3,54.32,24.61,22.2,3.59,40.74,25.91,74.33,1015.76,19.53,1.0,4.83,69.08,61.23,8957.22,7.61,0
7.32,9.04,19.46,22.63,75.55,8.72,0.0,33.55,0.0,25.83,71.93,1003.82,11.51,9.11,5.04,51.57,94.77,6312.75,2.79,0
2.86,9.49,11.21,14.44,56.38,0.0,17.94,0.0,13.98,36.41,71.54,1008.84,8.85,40.4,3.07,35.6,45.32,3311.14,4.35,0
50.64,52.96,62.25,70.19,85.7,48.6,38.38,57.0,79.58,24.25,100.0,996.3,25.51,5.11,2.53,59.97,43.21,2994.68,3.16,1
47.12,57.44,61.51,61.95,64.51,35.88,67.19,62.89,52.85,26.31,66.07,1003.97,10.17,41.62,4.02,77.73,63.75,9737.6,1.0,1
1.79,7.02,9.15,11.06,64.6,6.75,10.33,0.0,14.73,30.16,92.51,1010.51,7.05,18.37,1.52,45.79,68.78,7815.26,5.75,1
1.76,30.44,48.05,58.8,122.33,1.73,23.1,33.43,56.61,30.7,88.03,1015.99,13.49,23.96,0.23,37.87,58.36,7073.59,3.86,0
2.39,114.6,119.84,156.99,160.43,0.0,103.12,124.17,171.05,28.81,90.69,999.37,9.23,35.42,5.87,53.65,68.38,11008.73,11.95,1
4.0,4.72,16.32,73.45,80.11,7.29,0.0,0.0,65.38,37.28,86.82,1020.49,8.85,24.35,0.71,50.56,85.82,5878.42,3.3,0
4.07,32.09,34.98,43.58,62.08,4.17,22.19,51.07,54.08,30.85,84.72,1004.76,36.01,11.38,2.3,56.16,71.61,12035.37,4.0,0
2.96,27.84,40.74,76.84,88.41,2.06,40.63,38.41,96.69,23.66,79.43,1010.15,20.77,14.24,2.36,49.64,56.44,6916.12,9.66,1
0.31,14.63,18.27,33.5,40.54,0.0,28.32,28.7,2.68,25.95,73.81,1009.68,3.92,28.01,0.4,66.97,80.79,2604.23,2.9,0
0.45,8.53,25.81,36.72,128.85,0.0,11.78,41.09,30.67,28.26,68.67,1012.56,19.91,28.48,1.26,80.59,27.64,8382.63,4.58,0
4.04,17.26,25.19,40.45,64.13,0.0,26.08,4.81,14.03,34.64,72.15,1016.23,8.77,9.47,2.92,43.99,56.71,11219.92,2.5,0
4.99,27.93,44.25,83.22,99.38,12.22,25.87,68.36,70.52,32.29,76.79,990.09,8.25,12.4,5.92,68.46,76.98,2456.5,4.16,1
1.75,16.41,17.9,22.08,23.9,4.3,18.77,5.02,56.35,23.79,75.59,1000.19,16.91,50.47,8.1,52.28,68.4,9035.29,7.92,0
6.35,8.69,41.68,55.53,81.67,3.13,14.51,59.6,31.07,33.5,82.45,978.81,22.76,25.11,0.2,65.79,62.46,2207.42,10.27,1
1.19,5.31,11.73,35.1,48.2,1.91,4.6,5.26,10.78,32.53,57.73,997.36,19.71,18.2,4.59,51.91,47.9,5633.04,0.12,0
2.31,7.07,15.76,17.44,19.97,0.23,12.36,5.38,27.28,25.2,70.41,1017.55,14.32,27.86,0.2,34.39,70.54,5277.21,2.84,0
8.3,12.85,23.02,30.67,37.9,8.56,12.04,33.47,65.86,34.64,71.12,999.42,30.03,7.2,2.93,71.19,32.22,6774.58,0.0,0
0.12,4.61,8.7,12.0,14.62,0.7,0.0,0.0,16.0,28.2,100.0,996.47,10.22,13.68,4.54,66.92,39.65,10335.5,1.28,0
5.8,9.02,13.96,33.6,64.52,5.34,21.66,16.07,98.53,30.82,90.16,1007.57,13.55,52.05,5.19,49.87,55.1,6665.97,2.38,0
0.12,64.83,68.66,76.31,94.18,2.4,76.13,98.56,93.93,19.3,93.62,996.87,2.4,4.41,3.37,91.57,56.47,5663.07,6.31,1
2.04,65.95,74.1,101.17,108.16,4.61,89.09,62.56,88.69,19.77,74.59,1014.46,7.13,9.55,2.7,52.05,73.86,2102.96,0.0,0
2.53,10.82,17.48,44.45,56.0,7.62,5.35,9.29,28.35,26.39,68.72,1008.09,0.61,5.84,4.19,85.41,64.55,3497.36,0.66,0
6.82,7.81,19.65,81.31,149.14,7.7,2.1,15.38,86.35,32.31,77.04,1008.4,7.37,14.43,0.2,37.82,85.86,200.0,2.84,0
0.17,2.0,5.44,23.37,39.62,0.0,5.53,31.78,11.13,24.34,75.68,1010.73,10.46,15.25,3.64,39.86,71.35,4866.2,1.29,0
2.49,6.88,11.99,13.85,26.61,0.0,6.74,8.23,48.11,26.55,89.14,1006.84,7.99,17.88,1.59,64.26,77.36,1799.61,1.26,0
2.28,9.89,47.55,53.32,61.46,2.46,1.09,51.26,16.86,22.96,87.9,1000.0,16.55,17.24,2.99,47.73,79.38,1224.93,2.69,0
2.67,18.87,31.53,60.18,125.28,0.0,14.59,0.0,2.35,22.38,77.6,1016.32,2.88,47.71,3.79,62.58,71.26,1488.59,1.95,0
0.82,4.12,6.85,61.16,68.18,1.99,13.01,7.42,59.06,30.46,85.3,1000.58,3.59,16.68,0.2,41.61,51.1,9594.9,3.25,0
0.3,19.65,44.87,46.18,81.11,0.0,19.74,52.9,67.28,32.42,67.17,1000.86,28.9,14.8,4.82,50.51,44.72,2790.2,5.41,0
4.22,5.22,11.87,24.28,29.46,1.82,9.36,30.42,36.84,29.78,84.6,1004.39,23.75,11.72,0.81,59.44,53.02,11523.07,2.38,0
0.42,10.14,13.01,193.11,198.94,0.0,12.73,21.75,165.23,26.04,65.81,1010.28,0.0,27.96,1.57,55.68,67.05,6201.35,9.96,1
62.7,69.99,78.19,227.12,230.26,56.87,43.62,88.37,183.9,30.53,74.5,1024.55,9.77,11.67,3.19,34.35,81.06,3032.91,1.36,1
4.35,5.19,31.31,34.51,36.59,1.59,8.98,0.0,41.7,27.89,75.85,1023.29,27.28,5.59,0.54,76.22,79.18,10438.59,2.67,0
10.3,10.79,19.7,24.82,31.27,10.46,11.87,0.0,35.14,35.46,83.6,1004.12,26.02,17.38,1.57,55.11,66.71,2201.28,4.39,0
2.67,7.42,8.0,20.43,67.36,6.74,24.95,0.0,42.4,30.22,49.58,996.29,20.14,9.34,2.77,60.75,68.71,8582.04,7.81,1
7.55,27.76,41.08,92.9,114.77,3.89,27.17,36.26,108.6,29.49,80.93,998.98,18.51,16.87,3.87,77.98,16.02,9006.38,11.12,0
18.41,20.05,30.15,39.36,48.74,9.73,23.77,44.72,0.0,22.13,67.02,995.78,9.5,28.73,0.51,69.13,37.14,4856.63,3.89,0
2.85,6.89,7.23,25.06,181.77,5.11,12.15,1.54,42.16,27.2,63.22,991.78,18.71,10.84,3.06,64.41,38.36,2957.36,8.87,0
70.0,76.76,79.17,92.01,105.12,84.96,69.04,92.29,117.59,21.75,65.95,1012.47,14.54,38.81,1.76,59.66,66.97,7217.66,5.86,1
0.22,15.45,15.79,18.3,25.36,0.0,0.0,0.0,2.53,34.32,90.55,1005.91,11.51,29.18,5.29,44.65,50.15,4705.61,0.0,0
2.21,35.09,38.76,89.12,91.14,1.35,20.11,30.01,82.89,18.9,89.64,1006.36,0.0,27.84,3.22,48.09,52.95,10021.26,4.96,0
4.61,6.46,15.53,53.07,71.19,6.39,0.93,0.0,35.58,27.2,66.9,1012.43,9.93,27.98,0.31,50.13,36.97,9580.13,1.68,0
1.17,2.21,11.61,12.7,94.98,0.0,7.34,0.0,31.65,28.17,82.83,1011.65,26.66,1.0,0.62,57.69,64.99,1353.46,1.65,0
4.46,55.27,63.62,91.97,124.6,2.74,37.54,62.76,124.54,26.07,78.1,1004.66,24.65,22.09,2.96,39.76,47.15,7926.21,4.67,0
0.66,7.97,14.59,17.2,26.02,0.0,3.77,22.66,58.56,21.78,82.38,1003.68,14.03,1.0,1.02,52.32,24.55,200.0,0.3,0
0.6,4.41,17.23,71.29,148.26,0.0,3.25,0.0,75.96,31.35,85.93,1000.53,2.01,29.01,4.24,59.63,98.0,4301.21,3.06,0
2.39,21.35,24.53,30.03,62.92,1.18,21.76,18.38,31.07,25.46,93.5,1008.01,24.13,9.48,5.25,56.91,72.32,272.96,8.88,0
15.75,16.09,69.5,83.3,118.83,14.13,24.16,83.58,52.47,26.01,92.02,997.46,0.0,1.0,2.15,81.95,46.27,5136.1,4.16,1
2.68,13.48,42.82,44.35,54.82,1.17,1.3,60.73,37.55,20.56,60.31,1000.92,24.47,3.12,5.22,52.03,64.3,6219.11,6.32,0
